epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.165,0.86761,3.50136,1.16713,0.40678,0.49167,0.21543,0.17967,0.61734,3.1577,0.90993,7.5e-05,7.5e-05,7.5e-05
2,248.328,0.62419,2.01295,0.97731,0.34825,0.65122,0.65681,0.57911,0.56429,2.30246,0.8914,0.000160489,0.000160489,0.000160489
3,391.665,0.52534,1.39577,0.91002,0.6575,0.76963,0.82165,0.72029,0.57424,2.13336,0.89813,0.000243812,0.000243812,0.000243812
4,526.902,0.53077,1.20189,0.8894,0.70433,0.86955,0.88836,0.81228,0.52486,1.78802,0.83797,0.00032497,0.00032497,0.00032497
5,763.562,0.54113,1.00666,0.91475,0.69722,0.8853,0.90574,0.78456,0.57784,1.91467,0.8516,0.000403962,0.000403962,0.000403962
6,1077.51,0.5446,0.97185,0.91886,0.88316,0.95268,0.995,0.85664,0.59289,1.12246,0.8141,0.000480789,0.000480789,0.000480789
7,1355.32,0.60893,0.91804,0.91132,0.77337,0.82786,0.94138,0.76284,0.75916,1.69412,0.90614,0.00055545,0.00055545,0.00055545
8,1615.78,0.61453,0.87614,0.93385,0.78594,0.74757,0.85682,0.73849,0.6303,1.55297,0.85304,0.000627945,0.000627945,0.000627945
9,1902.48,0.64486,0.86899,0.94235,0.72479,0.62315,0.64541,0.50977,0.69508,2.16395,0.89981,0.000698275,0.000698275,0.000698275
10,2145.08,0.59566,0.78678,0.93164,0.42931,0.725,0.55799,0.47386,0.66485,2.08717,0.89942,0.000766439,0.000766439,0.000766439
11,2450.27,0.55489,0.77185,0.94463,0.81715,0.86763,0.97792,0.84599,0.57248,1.1673,0.83507,0.000832437,0.000832437,0.000832437
12,2741.25,0.59384,0.75051,0.92366,0.9188,0.625,0.86905,0.74458,0.66536,1.46705,0.89252,0.00089627,0.00089627,0.00089627
13,3020.54,0.5825,0.75655,0.91972,0.71265,0.76259,0.9269,0.78625,0.62941,1.17764,0.85162,0.000957937,0.000957937,0.000957937
14,3383.76,0.60005,0.82768,0.92101,0.84612,0.72083,0.8502,0.71138,0.6748,1.04832,0.91061,0.00101744,0.00101744,0.00101744
15,3733.38,0.5626,0.80225,0.92077,0.84415,0.59926,0.75598,0.63311,0.67637,2.22026,0.89187,0.00103344,0.00103344,0.00103344
16,4003.27,0.54552,0.64316,0.9117,0.76852,0.65833,0.85051,0.75297,0.59932,2.06884,0.82038,0.00101797,0.00101797,0.00101797
17,4266.13,0.56742,0.63968,0.9111,0.83966,0.81114,0.82441,0.72881,0.58975,1.40438,0.81479,0.0010025,0.0010025,0.0010025
18,4531.28,0.56643,0.63453,0.92611,0.84836,0.92856,0.9255,0.81197,0.60484,0.87035,0.82237,0.000987031,0.000987031,0.000987031
19,4788.64,0.57285,0.61741,0.91267,0.73777,0.65928,0.64001,0.54088,0.70145,1.5858,0.86699,0.000971562,0.000971562,0.000971562
20,5059.45,0.56847,0.61246,0.92351,0.68532,0.79167,0.88222,0.75042,0.60131,1.10989,0.8188,0.000956094,0.000956094,0.000956094
