epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.99077,0.96089,3.33712,1.06404,0.0074,0.94066,0.26032,0.20326,0.68978,2.97922,0.85998,8.574e-05,8.574e-05,8.574e-05
2,8.81482,0.81232,2.82076,0.95618,0.00786,1,0.37916,0.2849,0.76588,2.86381,0.85245,0.000182705,0.000182705,0.000182705
3,11.3752,0.82033,2.40037,0.95527,0.00791,1,0.38308,0.29085,0.72767,2.81766,0.8595,0.000276369,0.000276369,0.000276369
4,13.8161,0.79816,2.13072,0.9438,0.00793,1,0.3868,0.30599,0.68242,2.78049,0.85311,0.000366731,0.000366731,0.000366731
5,16.3672,0.78912,1.99014,0.96238,0.00794,1,0.43449,0.33277,0.74293,2.72009,0.85212,0.000453793,0.000453793,0.000453793
6,19.7907,0.81497,1.90293,0.97069,0.00794,1,0.482,0.3773,0.72266,2.65895,0.85633,0.000537554,0.000537554,0.000537554
7,22.0881,0.7835,1.79053,0.95073,0.00792,1,0.61049,0.50295,0.68567,2.6294,0.87788,0.000618014,0.000618014,0.000618014
8,24.3961,0.79265,1.61286,0.96693,0.58396,0.77514,0.69817,0.56226,0.70406,2.44142,0.89521,0.000695173,0.000695173,0.000695173
9,26.9109,0.82293,1.52008,0.96992,0.82619,0.25756,0.75803,0.61042,0.74696,2.22373,0.89226,0.000769031,0.000769031,0.000769031
10,29.2893,0.89455,1.46828,1.00033,0.66202,0.439,0.78418,0.61469,0.777,2.13367,0.90072,0.000839588,0.000839588,0.000839588
11,32.7054,0.79169,1.28072,0.93694,0.69113,0.62822,0.87113,0.70743,0.75141,1.9864,0.90933,0.000906843,0.000906843,0.000906843
12,34.9956,0.81094,1.23253,0.98529,0.92485,0.68689,0.92977,0.7234,0.80478,1.92487,0.93565,0.000970798,0.000970798,0.000970798
13,37.3983,0.81414,1.24973,0.95919,0.876,0.76117,0.91248,0.72497,0.76766,1.87057,0.91191,0.00103145,0.00103145,0.00103145
14,39.6477,0.7677,1.16125,0.93201,0.87562,0.8974,0.95992,0.78324,0.73237,1.66971,0.90005,0.00108881,0.00108881,0.00108881
15,41.9785,0.79183,1.12925,0.92592,0.91012,0.84922,0.98313,0.77351,0.7716,1.62848,0.94525,0.0010989,0.0010989,0.0010989
16,45.4743,0.80487,1.07218,0.95608,0.93818,0.8758,0.9714,0.73253,0.8214,1.43248,0.94388,0.00107532,0.00107532,0.00107532
17,47.7811,0.77851,1.04651,0.93885,0.94647,0.93636,0.98178,0.79085,0.77413,1.30779,0.91775,0.00105174,0.00105174,0.00105174
18,50.2059,0.79425,1.06792,0.94351,0.95652,0.9697,0.9925,0.78608,0.80713,1.11995,0.92798,0.00102817,0.00102817,0.00102817
19,52.5104,0.77483,1.09036,0.95076,0.95959,0.96939,0.995,0.81606,0.70747,0.97011,0.93036,0.00100459,0.00100459,0.00100459
20,54.7611,0.74692,1.00258,0.94349,0.98222,0.95833,0.98731,0.80466,0.71301,0.90167,0.89879,0.000981008,0.000981008,0.000981008
21,58.1062,0.70802,0.99293,0.91874,0.99413,0.97781,0.99222,0.81767,0.71964,0.86607,0.90297,0.00095743,0.00095743,0.00095743
22,60.568,0.70482,0.93096,0.91906,0.98534,0.99579,0.995,0.82237,0.72617,0.75923,0.90606,0.000933851,0.000933851,0.000933851
23,62.8162,0.71152,0.91073,0.91639,0.99638,0.98957,0.995,0.8167,0.76152,0.68583,0.89994,0.000910273,0.000910273,0.000910273
24,65.0813,0.72887,0.92807,0.93091,0.99214,0.99786,0.995,0.82103,0.69891,0.65188,0.89407,0.000886694,0.000886694,0.000886694
25,67.3792,0.6854,0.82096,0.90446,0.99268,1,0.995,0.81965,0.70802,0.64664,0.89582,0.000863116,0.000863116,0.000863116
26,70.4579,0.67096,0.82153,0.89438,0.98635,0.99794,0.995,0.83139,0.6813,0.65311,0.87524,0.000839537,0.000839537,0.000839537
